st_id,password,first_name,last_name,age,gender,nationality,CompletedUnit1_Code,CompletedUnit1_Title,CompletedUnit1_Semester,CompletedUnit1_Credits,CompletedUnit2_Code,CompletedUnit2_Title,CompletedUnit2_Semester,CompletedUnit2_Credits,CompletedUnit3_Code,CompletedUnit3_Title,CompletedUnit3_Semester,CompletedUnit3_Credits,CompletedUnit4_Code,CompletedUnit4_Title,CompletedUnit4_Semester,CompletedUnit4_Credits,CompletedUnit5_Code,CompletedUnit5_Title,CompletedUnit5_Semester,CompletedUnit5_Credits,CompletedUnit6_Code,CompletedUnit6_Title,CompletedUnit6_Semester,CompletedUnit6_Credits
61253,Pcucp,Isabela,Gonzalez,22,Female,Indonesia,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
82112,ZRy5t,Miguel,Fernandez,23,Male,Cambodia,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
37721,zxso1,Carmen,Reyes,29,Female,Laos,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
38685,xzvsY,Ricardo,Rivera,27,Male,Singapore,BCO6008,Predictive Analytics,2,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
55166,uS9Sw,Carlos,Martinez,23,Male,Philippines,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
96804,nvxmQ,Isabela,Morales,29,Female,Indonesia,BCO7005,Data Security and Governance,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
86037,LAoFf,Maria,Cruz,31,Female,Indonesia,BCO7000,Business Analytics,1,12,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,,,,,
99781,uW4Wx,Luisa,Fernandez,21,Female,Myanmar,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,2,12.0,BCO7005,Data Security and Governance,2,12.0,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,2.0,12.0
16787,FMa9n,Jessica,Fernandez,21,Female,Singapore,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,1,12.0,BCO6008,Predictive Analytics,2,12.0,,,,,,,,,,,,
98457,sLdpk,Juan,Garcia,29,Male,Thailand,BCO7002,Experience Management,4,12,BAO6504,Accounting for Management,1,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
87602,mBmPp,Alicia,Garcia,31,Female,Brunei,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
98552,v0y0k,Jose,Reyes,22,Male,Brunei,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
78649,H64ZJ,Veronica,Rivera,29,Female,Cambodia,BCO7006,Coding for Business Analytics,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
04380,F00xa,Sofia,Reyes,33,Female,Philippines,BEO6000,Data Analysis for Business,3,12,BCO7000,Business Analytics,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
35023,QylJI,Rosa,Morales,24,Female,Philippines,BEO6000,Data Analysis for Business,3,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
36204,JGquc,Rosa,Flores,33,Female,Indonesia,BCO7002,Experience Management,4,12,BCO7003,Analytics Project M anagement,1,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
21476,F2I0H,Ricardo,Gonzalez,34,Male,Indonesia,BEO6000,Data Analysis for Business,3,12,BEO6600,Business Economics,2,12.0,,,,,,,,,,,,,,,,
55608,5v4XV,Miguel,Flores,25,Male,Philippines,BCO7004,Business Data Mining and Warehousing,4,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
26143,TvGst,Miguel,Reyes,35,Male,Myanmar,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7005,Data Security and Governance,2,12.0,BCO7003,Analytics Project M anagement,1,12.0,,,,
35803,rsXp1,Fernando,Flores,30,Male,Malaysia,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
86522,1GlBF,Carlos,Martinez,27,Male,Singapore,BCO7002,Experience Management,4,12,BCO7000,Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
80894,7uy9v,Juan,Cruz,32,Male,Vietnam,BCO7007,Machine Learning,2,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
01575,ws2nN,Carmen,Gonzalez,28,Female,Malaysia,BAO6504,Accounting for Management,1,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
71701,I6OKC,Angelica,Fernandez,30,Female,Laos,BCO7004,Business Data Mining and Warehousing,4,12,BCO6008,Predictive Analytics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
09220,ta5Mp,Jose,Cruz,21,Male,Malaysia,BCO7003,Analytics Project M anagement,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,,,,,
93121,LciIW,Juan,Rivera,29,Male,Thailand,BCO7006,Coding for Business Analytics,1,12,BCO7005,Data Security and Governance,2,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
36015,cN4pN,Antonio,Gonzalez,27,Male,Thailand,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
12900,9Xhtx,Veronica,Reyes,27,Female,Philippines,BCO7006,Coding for Business Analytics,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
28015,J3suT,Angelica,Fernandez,19,Female,Brunei,BCO7007,Machine Learning,2,12,BCO7006,Coding for Business Analytics,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
79959,7Qz06,Isabela,Martinez,33,Female,Brunei,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2,12.0,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
05528,KJC7I,Fernando,Garcia,28,Male,Laos,BCO7006,Coding for Business Analytics,1,12,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,,,,,
83769,mhXwa,Roberto,Flores,22,Male,Singapore,BAO6504,Accounting for Management,1,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
32498,EKDyK,Ismael,Santos,23,Male,Singapore,BEO6600,Business Economics,2,12,BCO7003,Analytics Project M anagement,1,12.0,,,,,,,,,,,,,,,,
77419,GnnWc,Roberto,Cruz,35,Male,Vietnam,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,WOM1000,Women in STEM,1,12.0,BCO7005,Data Security and Governance,2,12.0,,,,,,,,
23248,yrbOC,Veronica,Reyes,23,Female,Philippines,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
83545,UXuxI,Carlos,Santos,35,Male,Brunei,BCO7003,Analytics Project M anagement,1,12,,,,,,,,,,,,,,,,,,,,
92069,yfqZk,Jose,Rivera,32,Male,Malaysia,BCO6008,Predictive Analytics,2,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
83599,VabgS,Jose,Santos,31,Male,Indonesia,BEO6000,Data Analysis for Business,3,12,BCO7005,Data Security and Governance,2,12.0,,,,,,,,,,,,,,,,
60772,ZTCKl,Jose,Ramos,33,Male,Brunei,BCO7005,Data Security and Governance,2,12,,,,,,,,,,,,,,,,,,,,
36183,ABeW5,Maria,Cruz,35,Female,Malaysia,BCO7004,Business Data Mining and Warehousing,4,12,BEO6000,Data Analysis for Business,3,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
07870,LWBSs,Alicia,Cruz,22,Female,Laos,BCO6008,Predictive Analytics,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
24672,FBSFt,Roberto,Ramos,18,Male,Singapore,WOM1000,Women in STEM,1,12,BCO7005,Data Security and Governance,2,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
26030,pKAb9,Maria,Flores,34,Female,Malaysia,BCO7000,Business Analytics,1,12,BEO6600,Business Economics,2,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
06955,mZ4aa,Alberto,Flores,25,Male,Laos,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
64747,9BuXp,Ismael,Garcia,20,Male,Brunei,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
07657,pd86O,Maria,Gonzalez,19,Female,Laos,BEO6600,Business Economics,2,12,BEO6000,Data Analysis for Business,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
39058,jJcFr,Alicia,Martinez,25,Female,Brunei,BAO6504,Accounting for Management,1,12,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
11112,eMEj6,Miguel,Rivera,25,Male,Laos,BEO6600,Business Economics,2,12,,,,,,,,,,,,,,,,,,,,
95932,wJl7R,Antonio,Reyes,25,Male,Cambodia,BEO6000,Data Analysis for Business,3,12,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,,,,,
82925,J7krZ,Luisa,Ramos,20,Female,Cambodia,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2,12.0,BCO6008,Predictive Analytics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,1,12.0,,,,
49807,ETQcP,Carlos,Ramos,26,Male,Philippines,BEO6000,Data Analysis for Business,3,12,BCO7002,Experience Management,4,12.0,BCO7000,Business Analytics,1,12.0,,,,,,,,,,,,
33556,fSr5P,Angelica,Garcia,20,Female,Philippines,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
91536,oI2lM,Carmen,Flores,31,Female,Myanmar,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
62550,LFMYC,Isabela,Morales,18,Female,Philippines,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
62241,JBaJn,Carmen,Flores,32,Female,Laos,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
26729,NHd1V,Angelica,Garcia,28,Female,Laos,BCO7006,Coding for Business Analytics,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BCO7005,Data Security and Governance,2,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
49194,dooS4,Jessica,Morales,25,Female,Brunei,BEO6000,Data Analysis for Business,3,12,BCO7003,Analytics Project M anagement,1,12.0,BCO7005,Data Security and Governance,2,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
15877,NKQaz,Ricardo,Ramos,34,Male,Myanmar,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2,12.0,BCO7005,Data Security and Governance,2,12.0,,,,,,,,,,,,
10531,xXjqx,Rosa,Garcia,24,Female,Cambodia,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,1,12.0,BCO7007,Machine Learning,2,12.0,,,,,,,,,,,,
30655,z0yxg,Ricardo,Cruz,24,Male,Thailand,BEO6600,Business Economics,2,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
66134,17Ys3,Ismael,Gonzalez,35,Male,Thailand,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
90263,mKZJQ,Antonio,Rivera,18,Male,Indonesia,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO6008,Predictive Analytics,2,12.0,BCO7002,Experience Management,4,12.0,,,,
30029,JOIP5,Miguel,Reyes,24,Male,Myanmar,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO6008,Predictive Analytics,2,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,
65063,oWDWq,Isabela,Ramos,35,Female,Philippines,BEO6000,Data Analysis for Business,3,12,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
92086,evIoJ,Ismael,Ramos,18,Male,Laos,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,BCO6008,Predictive Analytics,2,12.0,,,,,,,,
45531,0BYz0,Alberto,Garcia,32,Male,Philippines,BCO7006,Coding for Business Analytics,1,12,,,,,,,,,,,,,,,,,,,,
10877,Je3Wt,Jessica,Flores,30,Female,Indonesia,BCO7004,Business Data Mining and Warehousing,4,12,BAO6504,Accounting for Management,1,12.0,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
19878,3EMDF,Veronica,Santos,32,Female,Cambodia,WOM1000,Women in STEM,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7007,Machine Learning,2,12.0,,,,,,,,,,,,
47813,FHKBX,Roberto,Flores,34,Male,Indonesia,BCO7006,Coding for Business Analytics,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,,,,,
70774,HEyBj,Alicia,Ramos,34,Female,Brunei,BCO7002,Experience Management,4,12,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
56437,kQlxn,Antonio,Rivera,32,Male,Vietnam,WOM1000,Women in STEM,1,12,,,,,,,,,,,,,,,,,,,,
51982,q5CgH,Angelica,Martinez,24,Female,Cambodia,BCO6008,Predictive Analytics,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
77049,b4KFr,Isabela,Morales,19,Female,Malaysia,BCO7002,Experience Management,4,12,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
82479,zuBIo,Sofia,Martinez,30,Female,Malaysia,BCO7007,Machine Learning,2,12,BCO7000,Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
12811,R66TR,Fernando,Flores,18,Male,Laos,BEO6600,Business Economics,2,12,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,,,,,
33765,Y1zw9,Rosa,Ramos,19,Female,Malaysia,BCO7006,Coding for Business Analytics,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
00468,oenQE,Angelica,Rivera,23,Female,Malaysia,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,2,12.0,BCO7005,Data Security and Governance,2,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
27014,ZVmAW,Jessica,Reyes,23,Female,Vietnam,BEO6600,Business Economics,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
46229,vZXon,Alberto,Rivera,31,Male,Laos,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
23606,uoIwX,Sofia,Morales,32,Female,Myanmar,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7003,Analytics Project M anagement,1,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,3.0,12.0
35447,cs91M,Ismael,Rivera,18,Male,Brunei,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
15484,RYA7w,Ismael,Morales,34,Male,Philippines,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
67484,0Fq50,Ismael,Santos,19,Male,Singapore,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
65793,9rsDz,Roberto,Torres,29,Male,Vietnam,BEO6600,Business Economics,2,12,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,,,,,
76242,SUq2t,Fernando,Fernandez,18,Male,Vietnam,WOM1000,Women in STEM,1,12,BCO6008,Predictive Analytics,2,12.0,,,,,,,,,,,,,,,,
70356,uc6XI,Ismael,Torres,27,Male,Myanmar,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,1,12.0,BEO6600,Business Economics,2,12.0,,,,,,,,,,,,
00526,UliuK,Luisa,Morales,30,Female,Vietnam,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
42750,G84VZ,Jose,Garcia,32,Male,Thailand,BEO6000,Data Analysis for Business,3,12,BCO7003,Analytics Project M anagement,1,12.0,,,,,,,,,,,,,,,,
62119,fQpSF,Isabela,Morales,18,Female,Cambodia,BEO6000,Data Analysis for Business,3,12,BCO7002,Experience Management,4,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
76845,nw2jF,Angelica,Gonzalez,20,Female,Vietnam,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
30702,x67mI,Alberto,Gonzalez,28,Male,Cambodia,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
76802,iCC2l,Juan,Morales,27,Male,Philippines,BCO7007,Machine Learning,2,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
68721,rieVM,Antonio,Martinez,34,Male,Singapore,BCO7002,Experience Management,4,12,BCO7006,Coding for Business Analytics,1,12.0,BEO6600,Business Economics,2,12.0,,,,,,,,,,,,
84578,QNspJ,Ismael,Fernandez,19,Male,Cambodia,BCO7003,Analytics Project M anagement,1,12,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
43970,0P9BX,Roberto,Garcia,32,Male,Indonesia,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,1,12.0,WOM1000,Women in STEM,1,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,
43927,uI7PC,Alberto,Gonzalez,30,Male,Vietnam,BCO6008,Predictive Analytics,2,12,BCO7002,Experience Management,4,12.0,BCO7000,Business Analytics,1,12.0,,,,,,,,,,,,
73950,LJJrF,Isabela,Martinez,30,Female,Cambodia,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,3,12.0,,,,
17295,oW6av,Isabela,Garcia,19,Female,Cambodia,BCO7004,Business Data Mining and Warehousing,4,12,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
29881,qTsEg,Luisa,Martinez,26,Female,Cambodia,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BAO6504,Accounting for Management,1,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,
45440,PLJ8o,Luisa,Morales,24,Female,Brunei,BCO7004,Business Data Mining and Warehousing,4,12,BEO6600,Business Economics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
65010,tdcgm,Antonio,Rivera,27,Male,Myanmar,BEO6600,Business Economics,2,12,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,,,,,
53478,Dsuia,Isabela,Flores,27,Female,Malaysia,BEO6600,Business Economics,2,12,BCO7002,Experience Management,4,12.0,BCO7003,Analytics Project M anagement,1,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
87196,SH54l,Ricardo,Rivera,23,Male,Laos,BEO6000,Data Analysis for Business,3,12,BCO7003,Analytics Project M anagement,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
80707,hfG95,Fernando,Gonzalez,23,Male,Brunei,BEO6000,Data Analysis for Business,3,12,BCO7006,Coding for Business Analytics,1,12.0,,,,,,,,,,,,,,,,
98240,RJlLB,Jessica,Cruz,34,Female,Indonesia,WOM1000,Women in STEM,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BCO7007,Machine Learning,2,12.0,,,,,,,,,,,,
25363,580v2,Antonio,Santos,20,Male,Brunei,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
81294,98XDV,Ricardo,Fernandez,35,Male,Malaysia,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
59754,nRZrH,Isabela,Ramos,23,Female,Indonesia,BEO6600,Business Economics,2,12,WOM1000,Women in STEM,1,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
33725,kpAsA,Antonio,Santos,28,Male,Thailand,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BAO6504,Accounting for Management,1,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,
32109,p5Q60,Maria,Fernandez,25,Female,Thailand,BAO6504,Accounting for Management,1,12,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
88207,dRs7g,Alberto,Morales,23,Male,Brunei,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
72804,ybUKg,Carmen,Ramos,20,Female,Thailand,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
93602,0wmKX,Isabela,Reyes,27,Female,Vietnam,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
33667,ADtej,Isabela,Cruz,22,Female,Indonesia,BCO7004,Business Data Mining and Warehousing,4,12,BEO6000,Data Analysis for Business,3,12.0,BEO6600,Business Economics,2,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
92589,gmhXM,Isabela,Flores,32,Female,Laos,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,
43078,p6ITi,Carlos,Flores,33,Male,Singapore,BCO6008,Predictive Analytics,2,12,BAO6504,Accounting for Management,1,12.0,,,,,,,,,,,,,,,,
63775,KqQkV,Alberto,Reyes,19,Male,Vietnam,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
75262,BDlXd,Antonio,Fernandez,33,Male,Malaysia,BEO6600,Business Economics,2,12,,,,,,,,,,,,,,,,,,,,
68891,Vt0Fq,Roberto,Gonzalez,23,Male,Singapore,BCO6008,Predictive Analytics,2,12,BEO6000,Data Analysis for Business,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
08842,AJEuZ,Rosa,Reyes,29,Female,Brunei,BCO6008,Predictive Analytics,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
79659,8cBG9,Fernando,Martinez,33,Male,Philippines,BCO7003,Analytics Project M anagement,1,12,,,,,,,,,,,,,,,,,,,,
99383,lbgtk,Carmen,Torres,32,Female,Myanmar,BAO6504,Accounting for Management,1,12,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
04101,55ZA7,Jose,Santos,29,Male,Cambodia,BCO7005,Data Security and Governance,2,12,BCO7006,Coding for Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
00902,voTPu,Veronica,Morales,33,Female,Singapore,BCO7007,Machine Learning,2,12,BAO6504,Accounting for Management,1,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
10140,laHNg,Alicia,Morales,30,Female,Brunei,BEO6000,Data Analysis for Business,3,12,BAO6504,Accounting for Management,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
94586,XsMjc,Ricardo,Garcia,30,Male,Malaysia,BCO7005,Data Security and Governance,2,12,,,,,,,,,,,,,,,,,,,,
02649,mM3UO,Maria,Martinez,34,Female,Brunei,BEO6000,Data Analysis for Business,3,12,BCO7005,Data Security and Governance,2,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
48840,aFEzM,Maria,Reyes,33,Female,Brunei,BEO6000,Data Analysis for Business,3,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
83954,PgOjH,Ismael,Gonzalez,32,Male,Myanmar,WOM1000,Women in STEM,1,12,,,,,,,,,,,,,,,,,,,,
87334,Pw7zK,Jessica,Fernandez,24,Female,Myanmar,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
63544,kbkv5,Antonio,Gonzalez,31,Male,Laos,BCO6008,Predictive Analytics,2,12,,,,,,,,,,,,,,,,,,,,
30199,rd4YN,Ricardo,Martinez,24,Male,Vietnam,BEO6600,Business Economics,2,12,,,,,,,,,,,,,,,,,,,,
66502,ML28c,Jose,Torres,24,Male,Thailand,BCO6008,Predictive Analytics,2,12,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,,,,,
53732,Ur1Cw,Ricardo,Santos,32,Male,Philippines,BAO6504,Accounting for Management,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
28814,odNGz,Maria,Ramos,21,Female,Malaysia,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
84635,wvbpN,Miguel,Fernandez,32,Male,Vietnam,BCO7005,Data Security and Governance,2,12,,,,,,,,,,,,,,,,,,,,
32196,XtRnL,Ricardo,Fernandez,19,Male,Myanmar,BCO7000,Business Analytics,1,12,,,,,,,,,,,,,,,,,,,,
45131,f5Jvn,Rosa,Ramos,27,Female,Malaysia,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
68089,hyHMZ,Isabela,Flores,20,Female,Philippines,BEO6600,Business Economics,2,12,BCO7000,Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
