st_id,password,first_name,last_name,age,gender,nationality,interest,CompletedUnit_1_Code,CompletedUnit1_Title,CompletedUnit1_Semester,CompletedUnit1_Credits,CompletedUnit_2_Code,CompletedUnit2_Title,CompletedUnit2_Semester,CompletedUnit2_Credits,CompletedUnit_3_Code,CompletedUnit3_Title,CompletedUnit3_Semester,CompletedUnit3_Credits
61974,MRMnc,Isabela,Fernandez,34,Female,Laos,General Business and Management,WOM1000,Women in STEM,Sem 1,12,BCO7002,Experience Management,Sem 4,12.0,,,,
95678,aqted,Miguel,Gonzalez,29,Male,Vietnam,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,WOM1000,Women in STEM,Sem 1,12.0
07533,pPPgK,Ricardo,Garcia,29,Male,Philippines,Data-Driven Decision Making and Analytics,BCO7002,Experience Management,Sem 4,12,BCO6008,Predictive Analytics,Sem 2,12.0,,,,
19741,0n7Xd,Fernando,Fernandez,30,Male,Brunei,Marketing Strategy and Consumer Behavior,BEO6000,Data Analysis for Business,Sem 3,12,,,,,,,,
72202,q8ZmD,Carlos,Martinez,24,Male,Cambodia,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,WOM1000,Women in STEM,Sem 1,12.0
93968,1yo8Y,Alicia,Ramos,27,Female,Brunei,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
83783,6mdCw,Rosa,Morales,20,Female,Malaysia,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO6008,Predictive Analytics,Sem 2,12.0
43345,DmURi,Isabela,Gonzalez,26,Female,Thailand,Operations and Supply Chain Management,BCO7006,Coding for Business Analytics,Sem 1,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
08252,FWhd5,Carlos,Garcia,33,Male,Singapore,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
46826,H3bvO,Maria,Garcia,21,Female,Indonesia,Operations and Supply Chain Management,BCO7000,Business Analytics,Sem 1,12,BAO6504,Accounting for Management,Sem 1,12.0,,,,
11957,dsDRW,Antonio,Garcia,32,Male,Singapore,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7004,Business Data Mining and Warehousing,Sem 4,12.0
78996,5ehth,Antonio,Fernandez,33,Male,Laos,Information Technology and Systems,BEO6600,Business Economics,Sem 2,12,BAO6504,Accounting for Management,Sem 1,12.0,,,,
51777,ecjpm,Maria,Morales,31,Female,Philippines,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO6008,Predictive Analytics,Sem 2,12.0
88095,QFnvP,Isabela,Fernandez,21,Female,Brunei,Information Technology and Systems,BCO6008,Predictive Analytics,Sem 2,12,BCO7002,Experience Management,Sem 4,12.0,,,,
60433,KCAsD,Carlos,Martinez,25,Male,Brunei,General Business and Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BEO6000,Data Analysis for Business,Sem 3,12.0
29848,AMTZU,Angelica,Ramos,28,Female,Brunei,Data-Driven Decision Making and Analytics,BCO7004,Business Data Mining and Warehousing,Sem 4,12,,,,,,,,
84721,oVEr5,Sofia,Cruz,35,Female,Laos,General Business and Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BAO6504,Accounting for Management,Sem 1,12.0
94487,M0CPE,Fernando,Gonzalez,22,Male,Vietnam,Marketing Strategy and Consumer Behavior,BCO7007,Machine Learning,Sem 2,12,,,,,,,,
22696,c4PjQ,Rosa,Santos,34,Female,Malaysia,Information Technology and Systems,BCO7006,Coding for Business Analytics,Sem 1,12,,,,,,,,
87077,M59t1,Carlos,Flores,24,Male,Thailand,General Business and Management,BAO6504,Accounting for Management,Sem 1,12,,,,,,,,
66344,oYMUl,Ricardo,Reyes,24,Male,Cambodia,Leadership and Strategic Management,BCO7000,Business Analytics,Sem 1,12,,,,,,,,
40241,91g0r,Isabela,Torres,29,Female,Cambodia,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
72140,cGBz8,Sofia,Santos,19,Female,Singapore,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
15209,ju4fy,Carlos,Torres,19,Male,Cambodia,Data-Driven Decision Making and Analytics,BCO6008,Predictive Analytics,Sem 2,12,,,,,,,,
05964,UXnIZ,Carmen,Fernandez,25,Female,Thailand,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
20027,HXvoH,Veronica,Martinez,31,Female,Laos,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO6008,Predictive Analytics,Sem 2,12.0
65390,1VvDz,Fernando,Rivera,32,Male,Indonesia,Digital Media and Content Creation,BEO6600,Business Economics,Sem 2,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,,,,
03515,yq4FU,Roberto,Martinez,29,Male,Thailand,Data-Driven Decision Making and Analytics,BCO7007,Machine Learning,Sem 2,12,,,,,,,,
76124,JTgGy,Ricardo,Fernandez,34,Male,Myanmar,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BAO6504,Accounting for Management,Sem 1,12.0
06145,qHLH8,Miguel,Morales,26,Male,Myanmar,Financial and Managerial Accounting,WOM1000,Women in STEM,Sem 1,12,BCO7007,Machine Learning,Sem 2,12.0,,,,
70679,mZZz1,Antonio,Rivera,33,Male,Myanmar,Data-Driven Decision Making and Analytics,BCO7004,Business Data Mining and Warehousing,Sem 4,12,BCO7007,Machine Learning,Sem 2,12.0,,,,
04582,YdobD,Juan,Garcia,20,Male,Brunei,Financial and Managerial Accounting,BCO7002,Experience Management,Sem 4,12,,,,,,,,
96164,vzVQI,Antonio,Santos,23,Male,Cambodia,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7002,Experience Management,Sem 4,12.0
66620,bsjFp,Carmen,Morales,20,Female,Singapore,Marketing Strategy and Consumer Behavior,BCO7006,Coding for Business Analytics,Sem 1,12,,,,,,,,
24818,yiJ42,Alberto,Ramos,26,Male,Cambodia,Operations and Supply Chain Management,BCO7000,Business Analytics,Sem 1,12,BCO7004,Business Data Mining and Warehousing,Sem 4,12.0,,,,
05934,pcqRJ,Isabela,Ramos,18,Female,Laos,Data-Driven Decision Making and Analytics,BAO6504,Accounting for Management,Sem 1,12,,,,,,,,
40885,g6FS5,Isabela,Flores,29,Female,Vietnam,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,WOM1000,Women in STEM,Sem 1,12.0
92222,XCojv,Veronica,Rivera,28,Female,Brunei,Marketing Strategy and Consumer Behavior,BEO6000,Data Analysis for Business,Sem 3,12,BCO7005,Data Security and Governance,Sem 2,12.0,,,,
81129,qvlEU,Antonio,Cruz,24,Male,Philippines,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,WOM1000,Women in STEM,Sem 1,12.0
97194,EbYvU,Angelica,Torres,19,Female,Myanmar,Digital Media and Content Creation,BCO7004,Business Data Mining and Warehousing,Sem 4,12,,,,,,,,
99001,0ig7Z,Veronica,Flores,30,Female,Malaysia,Data-Driven Decision Making and Analytics,BEO6000,Data Analysis for Business,Sem 3,12,BCO7007,Machine Learning,Sem 2,12.0,,,,
19486,NnK2j,Veronica,Morales,20,Female,Myanmar,General Business and Management,BCO7004,Business Data Mining and Warehousing,Sem 4,12,BCO7000,Business Analytics,Sem 1,12.0,,,,
54306,jBAJa,Juan,Fernandez,34,Male,Singapore,Information Technology and Systems,BEO6600,Business Economics,Sem 2,12,,,,,,,,
39725,ftrSu,Maria,Reyes,25,Female,Indonesia,General Business and Management,WOM1000,Women in STEM,Sem 1,12,,,,,,,,
09837,4acld,Antonio,Cruz,26,Male,Philippines,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7002,Experience Management,Sem 4,12.0
70137,2B3qI,Ismael,Garcia,35,Male,Cambodia,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7002,Experience Management,Sem 4,12.0
37033,jOUE1,Carmen,Martinez,18,Female,Philippines,Data-Driven Decision Making and Analytics,BCO7004,Business Data Mining and Warehousing,Sem 4,12,,,,,,,,
07992,5uNMD,Fernando,Santos,32,Male,Indonesia,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,,,,,,,,
40833,jUj6Z,Roberto,Garcia,23,Male,Singapore,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,WOM1000,Women in STEM,Sem 1,12.0
64281,LtiZB,Antonio,Ramos,30,Male,Thailand,Marketing Strategy and Consumer Behavior,BAO6504,Accounting for Management,Sem 1,12,,,,,,,,
44462,KiXfv,Antonio,Gonzalez,21,Male,Vietnam,Leadership and Strategic Management,BCO7007,Machine Learning,Sem 2,12,WOM1000,Women in STEM,Sem 1,12.0,,,,
01397,wqLlm,Angelica,Flores,35,Female,Singapore,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
21523,I3tR5,Jessica,Cruz,24,Female,Cambodia,Data-Driven Decision Making and Analytics,BAO6504,Accounting for Management,Sem 1,12,,,,,,,,
34437,98x1v,Alicia,Torres,21,Female,Cambodia,General Business and Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO6008,Predictive Analytics,Sem 2,12.0
26443,VwvWs,Antonio,Rivera,26,Male,Malaysia,General Business and Management,BAO6504,Accounting for Management,Sem 1,12,BCO7003,Analytics Project M anagement,Sem 1,12.0,,,,
24185,ECfCN,Angelica,Garcia,27,Female,Thailand,Digital Media and Content Creation,BCO7002,Experience Management,Sem 4,12,,,,,,,,
00992,iQfJ4,Maria,Cruz,21,Female,Thailand,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO6008,Predictive Analytics,Sem 2,12.0
16960,IjZmy,Alicia,Rivera,27,Female,Philippines,Marketing Strategy and Consumer Behavior,BAO6504,Accounting for Management,Sem 1,12,,,,,,,,
90671,cbzkE,Jose,Reyes,35,Male,Singapore,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7002,Experience Management,Sem 4,12.0
42197,NIIOm,Veronica,Garcia,30,Female,Cambodia,Leadership and Strategic Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BAO6504,Accounting for Management,Sem 1,12.0
83381,4vGx0,Luisa,Santos,32,Female,Myanmar,Information Technology and Systems,BCO6008,Predictive Analytics,Sem 2,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
49409,qXdH6,Jose,Garcia,32,Male,Singapore,Leadership and Strategic Management,BCO7000,Business Analytics,Sem 1,12,,,,,,,,
49194,FHtCe,Juan,Ramos,29,Male,Thailand,Digital Media and Content Creation,BCO7005,Data Security and Governance,Sem 2,12,BCO7003,Analytics Project M anagement,Sem 1,12.0,,,,
96522,Biv0F,Rosa,Morales,20,Female,Brunei,General Business and Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
34358,10qO2,Carmen,Cruz,25,Female,Malaysia,Data-Driven Decision Making and Analytics,BCO6008,Predictive Analytics,Sem 2,12,,,,,,,,
70560,fCHMi,Veronica,Fernandez,23,Female,Vietnam,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BEO6600,Business Economics,Sem 2,12.0
62034,FQ9OB,Veronica,Martinez,19,Female,Cambodia,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
29470,Qp6gm,Angelica,Gonzalez,23,Female,Brunei,Operations and Supply Chain Management,BCO7007,Machine Learning,Sem 2,12,BCO7005,Data Security and Governance,Sem 2,12.0,,,,
68272,pCIWx,Ricardo,Gonzalez,28,Male,Indonesia,Financial and Managerial Accounting,BCO7005,Data Security and Governance,Sem 2,12,,,,,,,,
45435,TTMGA,Isabela,Gonzalez,28,Female,Laos,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO6008,Predictive Analytics,Sem 2,12.0,,,,
65939,3QbAb,Ismael,Morales,29,Male,Myanmar,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,WOM1000,Women in STEM,Sem 1,12.0
54849,9JL7A,Isabela,Fernandez,22,Female,Laos,Digital Media and Content Creation,BCO7003,Analytics Project M anagement,Sem 1,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
16699,MDApO,Carlos,Flores,23,Male,Indonesia,General Business and Management,BCO7006,Coding for Business Analytics,Sem 1,12,BCO7000,Business Analytics,Sem 1,12.0,,,,
29417,xH9Rl,Isabela,Flores,33,Female,Philippines,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BEO6600,Business Economics,Sem 2,12.0
14513,RAMNQ,Sofia,Santos,30,Female,Cambodia,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
52919,qqof9,Jessica,Reyes,29,Female,Malaysia,Data-Driven Decision Making and Analytics,BCO6008,Predictive Analytics,Sem 2,12,BEO6600,Business Economics,Sem 2,12.0,,,,
27762,X6Jwv,Veronica,Torres,20,Female,Thailand,Marketing Strategy and Consumer Behavior,BAO6504,Accounting for Management,Sem 1,12,,,,,,,,
89310,8fxLB,Jose,Fernandez,22,Male,Malaysia,Financial and Managerial Accounting,BEO6600,Business Economics,Sem 2,12,,,,,,,,
97160,QN8qV,Alicia,Ramos,22,Female,Thailand,Marketing Strategy and Consumer Behavior,WOM1000,Women in STEM,Sem 1,12,BCO6008,Predictive Analytics,Sem 2,12.0,,,,
22498,Caba3,Roberto,Santos,25,Male,Laos,General Business and Management,BCO7005,Data Security and Governance,Sem 2,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
91097,Khiro,Antonio,Ramos,21,Male,Laos,Operations and Supply Chain Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7002,Experience Management,Sem 4,12.0
14578,5V5gi,Roberto,Flores,24,Male,Myanmar,Financial and Managerial Accounting,WOM1000,Women in STEM,Sem 1,12,,,,,,,,
96139,WVNyz,Alberto,Fernandez,32,Male,Singapore,Operations and Supply Chain Management,WOM1000,Women in STEM,Sem 1,12,BCO6008,Predictive Analytics,Sem 2,12.0,,,,
78250,HRWaq,Angelica,Garcia,33,Female,Singapore,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,,,,,,,,
28213,Xiatm,Luisa,Santos,27,Female,Philippines,General Business and Management,BCO7006,Coding for Business Analytics,Sem 1,12,,,,,,,,
23153,75ogG,Luisa,Morales,35,Female,Indonesia,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
16806,ysya9,Jose,Fernandez,33,Male,Singapore,Data-Driven Decision Making and Analytics,BEO6600,Business Economics,Sem 2,12,,,,,,,,
22271,R3SSC,Luisa,Torres,33,Female,Cambodia,Data-Driven Decision Making and Analytics,BEO6600,Business Economics,Sem 2,12,,,,,,,,
09703,tyxDK,Ismael,Gonzalez,24,Male,Vietnam,General Business and Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,WOM1000,Women in STEM,Sem 1,12.0
45256,RMmIl,Ricardo,Cruz,28,Male,Laos,Information Technology and Systems,BEO6000,Data Analysis for Business,Sem 3,12,BCO7007,Machine Learning,Sem 2,12.0,,,,
25412,U4ZEN,Ricardo,Santos,25,Male,Philippines,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7007,Machine Learning,Sem 2,12.0,,,,
90284,OzRRv,Jose,Morales,22,Male,Laos,General Business and Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO6008,Predictive Analytics,Sem 2,12.0
38940,J3PaZ,Isabela,Garcia,35,Female,Laos,Marketing Strategy and Consumer Behavior,BCO7005,Data Security and Governance,Sem 2,12,,,,,,,,
41223,clsh5,Juan,Ramos,29,Male,Laos,Data-Driven Decision Making and Analytics,BCO7005,Data Security and Governance,Sem 2,12,,,,,,,,
72409,PUtVH,Jose,Cruz,19,Male,Philippines,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
54243,obJbQ,Jose,Fernandez,22,Male,Malaysia,Leadership and Strategic Management,BEO6600,Business Economics,Sem 2,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
27761,85okU,Alberto,Gonzalez,22,Male,Singapore,Digital Media and Content Creation,BCO7002,Experience Management,Sem 4,12,BCO7007,Machine Learning,Sem 2,12.0,,,,
94337,SZsAd,Maria,Garcia,27,Female,Vietnam,General Business and Management,BCO7002,Experience Management,Sem 4,12,BCO7005,Data Security and Governance,Sem 2,12.0,,,,
28346,LtYcS,Luisa,Garcia,30,Female,Laos,Financial and Managerial Accounting,BEO6000,Data Analysis for Business,Sem 3,12,,,,,,,,
85136,mT2ZY,Jessica,Ramos,30,Female,Laos,Operations and Supply Chain Management,BCO7007,Machine Learning,Sem 2,12,BCO7003,Analytics Project M anagement,Sem 1,12.0,,,,
94351,zfQ3d,Ismael,Morales,18,Male,Vietnam,Marketing Strategy and Consumer Behavior,BEO6600,Business Economics,Sem 2,12,,,,,,,,
54370,vIk7g,Angelica,Gonzalez,31,Female,Indonesia,Marketing Strategy and Consumer Behavior,BCO7005,Data Security and Governance,Sem 2,12,BAO6504,Accounting for Management,Sem 1,12.0,,,,
30051,hHMmk,Carmen,Torres,33,Female,Laos,Marketing Strategy and Consumer Behavior,BAO6504,Accounting for Management,Sem 1,12,BCO6008,Predictive Analytics,Sem 2,12.0,,,,
97419,B0syL,Alberto,Reyes,30,Male,Thailand,Operations and Supply Chain Management,BEO6000,Data Analysis for Business,Sem 3,12,,,,,,,,
43999,s8liG,Ricardo,Cruz,34,Male,Philippines,Data-Driven Decision Making and Analytics,BCO7004,Business Data Mining and Warehousing,Sem 4,12,WOM1000,Women in STEM,Sem 1,12.0,,,,
01452,dFbCU,Jessica,Martinez,34,Female,Myanmar,Digital Media and Content Creation,BCO6008,Predictive Analytics,Sem 2,12,BCO7007,Machine Learning,Sem 2,12.0,,,,
63403,dENRU,Alberto,Fernandez,31,Male,Brunei,Leadership and Strategic Management,BCO7002,Experience Management,Sem 4,12,,,,,,,,
82844,pPI67,Isabela,Reyes,28,Female,Singapore,General Business and Management,BCO7002,Experience Management,Sem 4,12,,,,,,,,
47902,MMh55,Carlos,Morales,24,Male,Laos,Leadership and Strategic Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
96944,ftyTl,Rosa,Fernandez,18,Female,Malaysia,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BEO6600,Business Economics,Sem 2,12.0,,,,
41963,MT2Ya,Sofia,Ramos,29,Female,Brunei,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
32336,RTCOk,Miguel,Fernandez,28,Male,Philippines,Financial and Managerial Accounting,BCO7005,Data Security and Governance,Sem 2,12,BEO6600,Business Economics,Sem 2,12.0,,,,
70918,WdrHb,Angelica,Morales,19,Female,Myanmar,Leadership and Strategic Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,,,,
02991,1FNPK,Jose,Torres,22,Male,Indonesia,Financial and Managerial Accounting,BCO7007,Machine Learning,Sem 2,12,,,,,,,,
16840,eDJEq,Carmen,Garcia,18,Female,Cambodia,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
82428,xYHZG,Ricardo,Rivera,28,Male,Cambodia,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
67148,vXrib,Veronica,Morales,20,Female,Malaysia,Operations and Supply Chain Management,BCO7004,Business Data Mining and Warehousing,Sem 4,12,,,,,,,,
28657,RvXxB,Juan,Flores,20,Male,Singapore,Information Technology and Systems,BCO7007,Machine Learning,Sem 2,12,BEO6600,Business Economics,Sem 2,12.0,,,,
68097,HYuLB,Angelica,Morales,32,Female,Laos,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7002,Experience Management,Sem 4,12.0
39638,QeZeM,Alberto,Ramos,27,Male,Thailand,General Business and Management,BCO7002,Experience Management,Sem 4,12,BCO7004,Business Data Mining and Warehousing,Sem 4,12.0,,,,
57022,3g8Pe,Antonio,Torres,34,Male,Singapore,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
01806,GQnZn,Luisa,Reyes,34,Female,Singapore,Leadership and Strategic Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
53618,dgDsY,Miguel,Cruz,33,Male,Vietnam,General Business and Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BEO6600,Business Economics,Sem 2,12.0
77852,H2kOO,Alicia,Cruz,27,Female,Laos,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7002,Experience Management,Sem 4,12.0
34607,PBDOc,Fernando,Santos,32,Male,Malaysia,Digital Media and Content Creation,BCO7004,Business Data Mining and Warehousing,Sem 4,12,,,,,,,,
92769,d7Q0W,Carlos,Flores,24,Male,Brunei,Leadership and Strategic Management,BCO7000,Business Analytics,Sem 1,12,,,,,,,,
88772,WQTFP,Jessica,Flores,22,Female,Philippines,Marketing Strategy and Consumer Behavior,BAO6504,Accounting for Management,Sem 1,12,,,,,,,,
36452,JnG71,Antonio,Morales,24,Male,Vietnam,Data-Driven Decision Making and Analytics,BEO6000,Data Analysis for Business,Sem 3,12,BCO7007,Machine Learning,Sem 2,12.0,,,,
22458,3HQuw,Fernando,Ramos,27,Male,Laos,General Business and Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
10872,uMJYU,Jessica,Garcia,30,Female,Cambodia,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
18285,oY89U,Jessica,Reyes,26,Female,Philippines,General Business and Management,BEO6000,Data Analysis for Business,Sem 3,12,,,,,,,,
73972,McqSn,Sofia,Santos,28,Female,Myanmar,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BAO6504,Accounting for Management,Sem 1,12.0
04094,P3f8X,Miguel,Gonzalez,29,Male,Cambodia,Information Technology and Systems,BEO6600,Business Economics,Sem 2,12,WOM1000,Women in STEM,Sem 1,12.0,,,,
98927,fNuA1,Isabela,Morales,26,Female,Indonesia,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
08768,58art,Rosa,Fernandez,33,Female,Singapore,Operations and Supply Chain Management,BEO6000,Data Analysis for Business,Sem 3,12,,,,,,,,
87569,fU6OK,Sofia,Santos,28,Female,Philippines,Operations and Supply Chain Management,BAO6504,Accounting for Management,Sem 1,12,BCO7003,Analytics Project M anagement,Sem 1,12.0,,,,
04767,RNkir,Juan,Rivera,32,Male,Cambodia,Digital Media and Content Creation,BCO7002,Experience Management,Sem 4,12,BCO7000,Business Analytics,Sem 1,12.0,,,,
25127,yV48G,Sofia,Flores,26,Female,Malaysia,Leadership and Strategic Management,BCO7006,Coding for Business Analytics,Sem 1,12,BAO6504,Accounting for Management,Sem 1,12.0,,,,
85070,o1FbD,Alicia,Torres,24,Female,Indonesia,Digital Media and Content Creation,BCO7004,Business Data Mining and Warehousing,Sem 4,12,,,,,,,,
85694,h4XYf,Roberto,Reyes,28,Male,Myanmar,Marketing Strategy and Consumer Behavior,BEO6600,Business Economics,Sem 2,12,,,,,,,,
18494,yiLzc,Alberto,Rivera,22,Male,Indonesia,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
88633,Xe21J,Carlos,Morales,34,Male,Thailand,Financial and Managerial Accounting,BAO6504,Accounting for Management,Sem 1,12,BCO7004,Business Data Mining and Warehousing,Sem 4,12.0,,,,
08964,D0XVt,Rosa,Cruz,32,Female,Brunei,Data-Driven Decision Making and Analytics,BCO7002,Experience Management,Sem 4,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
85339,zMwEK,Angelica,Fernandez,23,Female,Thailand,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BEO6000,Data Analysis for Business,Sem 3,12.0
29361,X55kw,Antonio,Morales,32,Male,Singapore,Leadership and Strategic Management,BCO7004,Business Data Mining and Warehousing,Sem 4,12,BAO6504,Accounting for Management,Sem 1,12.0,,,,
44313,c0AXI,Rosa,Cruz,32,Female,Philippines,Marketing Strategy and Consumer Behavior,WOM1000,Women in STEM,Sem 1,12,,,,,,,,
02980,l4Dff,Carlos,Torres,29,Male,Singapore,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,,,,,,,,
