st_id,first_name,last_name,age,gender,nationality,completed_units_1,completed_units_1_sem,completed_units_2,completed_units_2_sem,completed_units_3,completed_units_3_sem,interest
64691,Rosa,Ramos,24,Female,Malaysia,BCO7003,1,BEO6000,3.0,BEO6600,2.0,Information Technology and Systems
89606,Veronica,Martinez,33,Female,Thailand,BCO6008,2,,,,,Operations and Supply Chain Management
54623,Maria,Gonzalez,30,Female,Thailand,BCO7007,2,BCO7004,4.0,,,Data-Driven Decision Making and Analytics
65874,Miguel,Flores,26,Male,Vietnam,BCO7004,4,BCO7005,2.0,BEO6000,3.0,General Business and Management
69224,Alicia,Rivera,25,Female,Thailand,BCO7000,2,BCO7006,2.0,BEO6600,2.0,Leadership and Strategic Management
54014,Miguel,Fernandez,20,Male,Laos,BCO7005,2,,,,,Digital Media and Content Creation
25316,Juan,Cruz,31,Male,Philippines,BCO7006,1,BCO7004,4.0,,,Digital Media and Content Creation
84009,Jessica,Morales,22,Female,Brunei,BCO7002,4,BAO6504,1.0,BCO7005,2.0,Financial and Managerial Accounting
72657,Roberto,Cruz,23,Male,Vietnam,BCO7000,2,BCO7006,2.0,BCO7005,2.0,Leadership and Strategic Management
16861,Carmen,Reyes,22,Female,Cambodia,"	
WOM1000",1,BCO7004,4.0,BEO6000,3.0,Operations and Supply Chain Management
01173,Carlos,Ramos,20,Male,Indonesia,BCO7004,4,,,,,Data-Driven Decision Making and Analytics
45378,Veronica,Santos,24,Female,Cambodia,BCO7000,1,,,,,General Business and Management
39660,Alicia,Reyes,24,Female,Thailand,BEO6600,2,BCO7006,1.0,BEO6000,3.0,Leadership and Strategic Management
56398,Jessica,Martinez,31,Female,Cambodia,BCO7000,1,BEO6000,3.0,,,Digital Media and Content Creation
49101,Angelica,Garcia,27,Female,Thailand,BCO7000,3,BCO7006,1.0,BAO6504,1.0,Information Technology and Systems
81184,Sofia,Morales,18,Female,Vietnam,"	
WOM1000",1,BEO6600,2.0,,,Operations and Supply Chain Management
46202,Carmen,Santos,30,Female,Indonesia,BEO6000,3,BCO7004,4.0,,,Leadership and Strategic Management
90931,Ismael,Morales,23,Male,Brunei,BEO6000,3,,,,,General Business and Management
02735,Alicia,Reyes,27,Female,Singapore,BCO7000,4,BCO7006,4.0,BCO7004,4.0,Leadership and Strategic Management
33016,Roberto,Martinez,26,Male,Laos,BCO7002,4,BEO6000,3.0,,,Financial and Managerial Accounting
60781,Fernando,Fernandez,28,Male,Malaysia,BEO6000,3,BEO6600,2.0,BAO6504,1.0,Information Technology and Systems
36018,Isabela,Ramos,26,Female,Cambodia,BEO6000,3,,,,,Financial and Managerial Accounting
26562,Alberto,Rivera,21,Male,Vietnam,BCO7005,2,,,,,Financial and Managerial Accounting
52761,Roberto,Morales,20,Male,Cambodia,"	
WOM1000",1,BCO7004,4.0,,,Operations and Supply Chain Management
49736,Luisa,Morales,22,Female,Laos,BCO7000,4,BCO7006,4.0,BEO6000,3.0,Marketing Strategy and Consumer Behavior
91212,Veronica,Morales,27,Female,Vietnam,BCO7000,2,BCO7006,2.0,BCO7005,2.0,Marketing Strategy and Consumer Behavior
34773,Angelica,Martinez,32,Female,Laos,BCO7000,3,BCO7006,3.0,BEO6000,3.0,Financial and Managerial Accounting
87916,Rosa,Torres,34,Female,Laos,BEO6000,3,BCO7004,4.0,,,Operations and Supply Chain Management
31212,Jose,Rivera,33,Male,Brunei,BCO6008,2,BCO7004,4.0,BCO7006,1.0,Operations and Supply Chain Management
89804,Roberto,Reyes,23,Male,Cambodia,BEO6600,2,,,,,Leadership and Strategic Management
12694,Miguel,Rivera,30,Male,Myanmar,BCO7003,1,,,,,Leadership and Strategic Management
23644,Sofia,Reyes,35,Female,Vietnam,BCO7000,3,BCO7006,4.0,BAO6504,1.0,General Business and Management
90161,Antonio,Rivera,26,Male,Myanmar,BEO6000,3,BEO6600,2.0,BCO7004,4.0,General Business and Management
98827,Luisa,Cruz,31,Female,Brunei,BCO7000,3,BCO7006,3.0,BEO6000,3.0,General Business and Management
19218,Roberto,Rivera,29,Male,Myanmar,BCO7004,4,,,,,Operations and Supply Chain Management
37095,Sofia,Santos,24,Female,Singapore,BCO7000,2,BCO7006,2.0,BCO7005,2.0,Digital Media and Content Creation
11449,Miguel,Martinez,32,Male,Indonesia,BCO7000,3,BCO7006,3.0,BEO6000,3.0,General Business and Management
77715,Antonio,Garcia,22,Male,Myanmar,BEO6000,3,,,,,Financial and Managerial Accounting
15653,Carlos,Morales,32,Male,Laos,BEO6600,2,,,,,Marketing Strategy and Consumer Behavior
09059,Angelica,Flores,22,Female,Thailand,BCO7007,2,BCO7000,1.0,BEO6000,3.0,Operations and Supply Chain Management
78317,Roberto,Fernandez,34,Male,Philippines,BCO7000,4,BCO7006,4.0,BCO7002,4.0,Operations and Supply Chain Management
93670,Luisa,Flores,21,Female,Philippines,BCO7003,1,,,,,Digital Media and Content Creation
93640,Juan,Garcia,21,Male,Philippines,BCO7002,4,BEO6000,3.0,BCO7005,2.0,Financial and Managerial Accounting
32541,Angelica,Morales,21,Female,Philippines,BAO6504,1,BCO7005,2.0,BCO7004,4.0,Information Technology and Systems
82054,Angelica,Rivera,21,Female,Philippines,BCO7000,2,BCO7006,2.0,BCO7007,2.0,Information Technology and Systems
13692,Jose,Fernandez,26,Male,Brunei,BCO7005,2,BCO7006,1.0,BEO6000,3.0,Digital Media and Content Creation
60689,Alberto,Torres,24,Male,Philippines,BEO6600,2,,,,,Data-Driven Decision Making and Analytics
24894,Rosa,Gonzalez,18,Female,Philippines,BCO7000,4,BCO7006,4.0,BCO7002,4.0,General Business and Management
83615,Fernando,Fernandez,26,Male,Thailand,BEO6600,2,BCO7002,4.0,,,Data-Driven Decision Making and Analytics
64558,Antonio,Gonzalez,29,Male,Brunei,BCO7004,4,BAO6504,1.0,BEO6000,3.0,Information Technology and Systems
41285,Alberto,Fernandez,31,Male,Brunei,BCO7002,4,,,,,General Business and Management
24427,Fernando,Garcia,31,Male,Myanmar,BCO6008,2,BEO6000,3.0,,,Financial and Managerial Accounting
75660,Jose,Gonzalez,28,Male,Indonesia,BCO7000,4,BCO7006,2.0,BEO6000,3.0,Marketing Strategy and Consumer Behavior
96067,Carmen,Martinez,24,Female,Indonesia,BCO6008,2,,,,,Leadership and Strategic Management
73658,Fernando,Santos,25,Male,Brunei,BEO6000,3,BCO7003,1.0,BCO6008,2.0,Leadership and Strategic Management
89772,Veronica,Morales,34,Female,Brunei,BCO7002,4,BEO6600,2.0,BCO7000,1.0,Financial and Managerial Accounting
28574,Sofia,Flores,20,Female,Malaysia,BEO6600,2,BEO6000,3.0,BCO7002,4.0,Marketing Strategy and Consumer Behavior
94219,Sofia,Reyes,34,Female,Myanmar,BCO7002,4,,,,,General Business and Management
66084,Juan,Morales,27,Male,Cambodia,BEO6000,3,,,,,Financial and Managerial Accounting
18671,Ricardo,Santos,33,Male,Cambodia,BCO6008,2,BCO7002,4.0,,,Leadership and Strategic Management
93051,Jessica,Fernandez,28,Female,Malaysia,BEO6000,3,BCO7002,4.0,,,Financial and Managerial Accounting
99706,Isabela,Reyes,23,Female,Thailand,BCO7000,3,BCO7006,2.0,BCO7004,4.0,Financial and Managerial Accounting
82419,Angelica,Fernandez,31,Female,Brunei,BCO6008,2,BCO7006,1.0,,,Financial and Managerial Accounting
50756,Veronica,Cruz,26,Female,Cambodia,BCO7002,4,,,,,Digital Media and Content Creation
26907,Alicia,Gonzalez,25,Female,Myanmar,"	
WOM1000",1,BEO6000,3.0,BCO7004,4.0,Marketing Strategy and Consumer Behavior
68218,Veronica,Santos,18,Female,Vietnam,BCO7000,2,BCO7006,2.0,BEO6600,2.0,Data-Driven Decision Making and Analytics
85619,Jessica,Fernandez,25,Female,Singapore,BCO7000,1,BCO7006,1.0,,,Financial and Managerial Accounting
36715,Carlos,Gonzalez,20,Male,Vietnam,BCO7000,3,BCO7006,3.0,BEO6000,3.0,General Business and Management
21882,Alicia,Cruz,21,Female,Vietnam,BEO6000,3,,,,,General Business and Management
20353,Juan,Reyes,20,Male,Thailand,BCO7007,2,BCO7006,1.0,BEO6000,3.0,Digital Media and Content Creation
43040,Jose,Martinez,27,Male,Indonesia,BAO6504,1,,,,,Data-Driven Decision Making and Analytics
19932,Jessica,Torres,32,Female,Myanmar,BCO7003,1,BEO6000,3.0,,,Financial and Managerial Accounting
58476,Jose,Morales,26,Male,Indonesia,BCO7004,4,BEO6000,3.0,"	
WOM1000",1.0,Digital Media and Content Creation
25730,Roberto,Rivera,20,Male,Brunei,BCO7000,1,BCO7006,2.0,BCO7005,2.0,Marketing Strategy and Consumer Behavior
79182,Maria,Flores,32,Female,Myanmar,BEO6000,3,BCO7002,4.0,BCO7006,1.0,Financial and Managerial Accounting
18154,Alicia,Fernandez,23,Female,Indonesia,BCO7000,4,BCO7006,2.0,BCO7005,2.0,Financial and Managerial Accounting
40568,Antonio,Ramos,19,Male,Indonesia,BCO7002,4,,,,,Digital Media and Content Creation
70531,Jose,Cruz,29,Male,Malaysia,BCO7002,4,,,,,Data-Driven Decision Making and Analytics
49163,Veronica,Cruz,22,Female,Cambodia,BCO7006,1,BCO6008,2.0,BCO7002,4.0,Data-Driven Decision Making and Analytics
84460,Roberto,Fernandez,26,Male,Laos,BCO7004,4,"	
WOM1000",1.0,,,Operations and Supply Chain Management
43375,Ismael,Ramos,26,Male,Laos,BCO7006,1,BEO6600,2.0,BCO7004,4.0,General Business and Management
38846,Rosa,Rivera,31,Female,Vietnam,BCO7006,1,,,,,Digital Media and Content Creation
74386,Rosa,Garcia,19,Female,Malaysia,BCO7000,1,BEO6600,2.0,BCO7002,4.0,Financial and Managerial Accounting
64825,Jose,Martinez,26,Male,Indonesia,BCO7000,4,BCO7006,4.0,BCO7002,4.0,Marketing Strategy and Consumer Behavior
56928,Jose,Torres,31,Male,Thailand,BCO7000,1,BCO7006,1.0,BCO7004,4.0,Operations and Supply Chain Management
19087,Miguel,Fernandez,32,Male,Malaysia,BCO7006,1,BCO7004,4.0,BCO7007,2.0,Financial and Managerial Accounting
98395,Ricardo,Torres,33,Male,Thailand,BCO7000,1,BCO7006,4.0,BCO7004,4.0,Financial and Managerial Accounting
14345,Ismael,Garcia,20,Male,Indonesia,BCO7000,4,BCO7006,2.0,BCO6008,2.0,Digital Media and Content Creation
62952,Jose,Reyes,34,Male,Malaysia,BCO7000,4,BCO7006,1.0,BCO7002,4.0,Financial and Managerial Accounting
80860,Sofia,Reyes,32,Female,Cambodia,BCO7004,4,"	
WOM1000",1.0,BEO6000,3.0,Information Technology and Systems
57161,Jose,Rivera,23,Male,Indonesia,BCO6008,2,BCO7002,4.0,BEO6000,3.0,Marketing Strategy and Consumer Behavior
19787,Rosa,Gonzalez,24,Female,Indonesia,BCO7006,1,BEO6000,3.0,,,Financial and Managerial Accounting
65323,Ismael,Martinez,23,Male,Cambodia,BCO7003,1,,,,,Leadership and Strategic Management
67591,Fernando,Martinez,27,Male,Thailand,BEO6000,3,,,,,Digital Media and Content Creation
16844,Luisa,Ramos,25,Female,Singapore,BCO7000,3,BCO7006,4.0,BEO6000,3.0,Operations and Supply Chain Management
79118,Isabela,Gonzalez,19,Female,Malaysia,BCO7004,4,BCO7005,2.0,BEO6000,3.0,Information Technology and Systems
80260,Rosa,Martinez,23,Female,Laos,BCO6008,2,BCO7000,1.0,BCO7002,4.0,Marketing Strategy and Consumer Behavior
99481,Ismael,Rivera,33,Male,Indonesia,BCO7000,1,BCO7006,1.0,,,Information Technology and Systems
82072,Antonio,Martinez,27,Male,Vietnam,BEO6000,3,BCO7002,4.0,BEO6600,2.0,Leadership and Strategic Management
19774,Antonio,Cruz,33,Male,Brunei,BCO7000,2,BCO7006,2.0,BCO6008,2.0,Leadership and Strategic Management
98282,Miguel,Rivera,19,Male,Vietnam,BCO6008,2,BAO6504,1.0,,,Digital Media and Content Creation
35070,Miguel,Gonzalez,31,Male,Laos,BCO7000,1,BCO7006,3.0,BEO6000,3.0,Leadership and Strategic Management
66459,Alberto,Reyes,25,Male,Thailand,BEO6000,3,BCO6008,2.0,,,Leadership and Strategic Management
58001,Luisa,Gonzalez,28,Female,Vietnam,BAO6504,1,BEO6000,3.0,,,Information Technology and Systems
12814,Maria,Rivera,28,Female,Brunei,BEO6000,3,BCO7003,1.0,,,Marketing Strategy and Consumer Behavior
42074,Ismael,Reyes,33,Male,Indonesia,BCO7004,4,,,,,Digital Media and Content Creation
33739,Sofia,Martinez,21,Female,Laos,BCO7003,1,,,,,Operations and Supply Chain Management
75639,Alberto,Flores,31,Male,Malaysia,BCO7002,4,BCO6008,2.0,,,Marketing Strategy and Consumer Behavior
14198,Rosa,Rivera,22,Female,Philippines,BCO7006,1,BCO7002,4.0,,,Data-Driven Decision Making and Analytics
51482,Angelica,Martinez,19,Female,Malaysia,BCO7004,4,,,,,Leadership and Strategic Management
41856,Jose,Fernandez,34,Male,Cambodia,BCO6008,2,,,,,Digital Media and Content Creation
26184,Alberto,Garcia,28,Male,Myanmar,BCO7003,1,,,,,Marketing Strategy and Consumer Behavior
85376,Carlos,Morales,28,Male,Philippines,BCO6008,2,BCO7003,1.0,,,Data-Driven Decision Making and Analytics
44373,Maria,Reyes,20,Female,Indonesia,BCO7002,4,BEO6000,3.0,,,Information Technology and Systems
59379,Maria,Garcia,28,Female,Malaysia,BCO7000,3,BCO7006,3.0,BEO6000,3.0,Information Technology and Systems
65544,Sofia,Fernandez,18,Female,Indonesia,BEO6000,3,,,,,Operations and Supply Chain Management
57227,Alicia,Ramos,18,Female,Brunei,BCO7007,2,,,,,Financial and Managerial Accounting
60249,Carlos,Cruz,21,Male,Brunei,BCO7002,4,BEO6600,2.0,BEO6000,3.0,Leadership and Strategic Management
63998,Alicia,Torres,28,Female,Indonesia,BCO7004,4,BEO6000,3.0,BCO7000,1.0,Leadership and Strategic Management
82460,Fernando,Torres,30,Male,Laos,BCO7007,2,,,,,Information Technology and Systems
89397,Carmen,Reyes,30,Female,Vietnam,BCO7002,4,"	
WOM1000",1.0,,,Operations and Supply Chain Management
05763,Alicia,Ramos,32,Female,Singapore,BCO6008,2,BCO7002,4.0,BEO6000,3.0,Leadership and Strategic Management
13413,Alicia,Morales,26,Female,Vietnam,BCO7000,1,BCO7006,1.0,BCO7004,4.0,Data-Driven Decision Making and Analytics
70835,Rosa,Reyes,33,Female,Philippines,BCO6008,2,,,,,Digital Media and Content Creation
51126,Ismael,Morales,24,Male,Singapore,BCO7002,4,BCO7005,2.0,,,General Business and Management
24954,Roberto,Fernandez,25,Male,Laos,BEO6000,3,,,,,Information Technology and Systems
81032,Miguel,Garcia,18,Male,Cambodia,BCO7003,1,,,,,Leadership and Strategic Management
83565,Ricardo,Garcia,24,Male,Malaysia,BEO6000,3,BEO6600,2.0,BCO7000,1.0,General Business and Management
35061,Ismael,Martinez,32,Male,Laos,BCO7002,4,BCO7006,1.0,,,Leadership and Strategic Management
84705,Luisa,Flores,18,Female,Brunei,BCO7000,2,BCO7006,2.0,BCO7007,2.0,Digital Media and Content Creation
77044,Roberto,Garcia,35,Male,Brunei,BCO7004,4,BCO7007,2.0,,,Operations and Supply Chain Management
91944,Maria,Flores,24,Female,Vietnam,BCO7000,1,BCO6008,2.0,,,Leadership and Strategic Management
61469,Antonio,Flores,21,Male,Laos,BCO7005,2,,,,,Leadership and Strategic Management
87324,Carmen,Santos,30,Female,Philippines,BCO7007,2,,,,,Data-Driven Decision Making and Analytics
52262,Jose,Fernandez,18,Male,Thailand,BCO7004,4,BEO6000,3.0,,,Marketing Strategy and Consumer Behavior
18342,Carlos,Garcia,28,Male,Cambodia,BAO6504,1,BEO6000,3.0,,,General Business and Management
56825,Luisa,Morales,22,Female,Indonesia,BCO7002,4,BCO7006,1.0,BEO6600,2.0,Marketing Strategy and Consumer Behavior
89955,Sofia,Fernandez,29,Female,Myanmar,BCO7002,4,,,,,Operations and Supply Chain Management
56663,Fernando,Ramos,18,Male,Brunei,BCO7003,1,BEO6000,3.0,,,Data-Driven Decision Making and Analytics
57507,Alicia,Gonzalez,28,Female,Singapore,BAO6504,1,BCO7002,4.0,,,Leadership and Strategic Management
93326,Jessica,Rivera,32,Female,Cambodia,BCO7004,4,BCO7003,1.0,,,Marketing Strategy and Consumer Behavior
02428,Rosa,Cruz,20,Female,Singapore,BCO6008,2,BEO6000,3.0,,,General Business and Management
82406,Sofia,Reyes,22,Female,Singapore,BCO7004,4,BCO7006,1.0,BEO6000,3.0,Data-Driven Decision Making and Analytics
82880,Veronica,Reyes,24,Female,Singapore,BCO7007,2,BCO7003,1.0,,,Digital Media and Content Creation
86232,Carmen,Reyes,35,Female,Indonesia,BEO6600,2,,,,,Leadership and Strategic Management
09825,Juan,Gonzalez,35,Male,Indonesia,BCO7000,1,BCO7002,4.0,,,Operations and Supply Chain Management
40888,Juan,Cruz,26,Male,Vietnam,BCO7002,4,BCO7000,1.0,,,Digital Media and Content Creation
53598,Alberto,Ramos,19,Male,Cambodia,BCO7004,4,,,,,Marketing Strategy and Consumer Behavior
98294,Ricardo,Rivera,32,Male,Laos,BCO7006,1,BCO6008,2.0,BCO7002,4.0,General Business and Management
52410,Jose,Ramos,27,Male,Laos,BCO7006,1,,,,,Digital Media and Content Creation
21330,Luisa,Garcia,29,Female,Vietnam,BCO7006,1,BCO7002,4.0,BCO7007,2.0,Operations and Supply Chain Management
74464,Juan,Gonzalez,19,Male,Cambodia,BEO6000,3,BCO7004,4.0,BCO7003,1.0,Digital Media and Content Creation
71203,Sofia,Cruz,25,Female,Philippines,BEO6000,3,"	
WOM1000",1.0,,,Data-Driven Decision Making and Analytics
86001,Fernando,Flores,29,Male,Brunei,BCO7002,4,,,,,Data-Driven Decision Making and Analytics
35852,Juan,Torres,29,Male,Myanmar,BCO7003,1,BCO6008,2.0,BCO7004,4.0,Marketing Strategy and Consumer Behavior
75260,Alberto,Torres,20,Male,Myanmar,BCO6008,2,BCO7002,4.0,,,Financial and Managerial Accounting
86866,Alberto,Ramos,27,Male,Thailand,BCO7000,2,BCO7006,2.0,BCO7005,2.0,Operations and Supply Chain Management
20354,Sofia,Garcia,27,Female,Cambodia,BCO7004,4,BEO6000,3.0,"	
WOM1000",1.0,Data-Driven Decision Making and Analytics
21921,Antonio,Flores,21,Male,Vietnam,BCO7006,1,BCO6008,2.0,,,Leadership and Strategic Management
73278,Sofia,Santos,34,Female,Myanmar,BCO7000,1,BCO7006,1.0,BCO7003,1.0,Financial and Managerial Accounting
76800,Alberto,Fernandez,28,Male,Singapore,BCO7004,4,BEO6000,3.0,BCO7005,2.0,Financial and Managerial Accounting
06252,Luisa,Cruz,23,Female,Vietnam,BCO7004,4,BEO6000,3.0,,,Operations and Supply Chain Management
37958,Rosa,Santos,22,Female,Vietnam,BCO7005,2,,,,,Data-Driven Decision Making and Analytics
31773,Juan,Fernandez,32,Male,Indonesia,BCO7005,2,BCO7004,4.0,,,General Business and Management
87569,Miguel,Rivera,32,Male,Thailand,BCO7000,2,BCO7006,2.0,BCO7005,2.0,Financial and Managerial Accounting
67108,Isabela,Flores,26,Female,Vietnam,BEO6000,3,BCO7005,2.0,,,Data-Driven Decision Making and Analytics
92641,Roberto,Santos,21,Male,Cambodia,BCO7002,4,BCO7003,1.0,BEO6600,2.0,General Business and Management
81792,Roberto,Garcia,19,Male,Thailand,BCO7004,4,,,,,General Business and Management
48947,Roberto,Gonzalez,27,Male,Singapore,BAO6504,1,,,,,Operations and Supply Chain Management
54938,Isabela,Santos,33,Female,Indonesia,BEO6000,3,BCO7005,2.0,,,Data-Driven Decision Making and Analytics
35100,Miguel,Reyes,29,Male,Myanmar,BEO6000,3,BEO6600,2.0,BCO7004,4.0,Information Technology and Systems
08423,Veronica,Torres,28,Female,Vietnam,BEO6000,3,BCO7007,2.0,,,Digital Media and Content Creation
88383,Veronica,Fernandez,34,Female,Malaysia,BCO7000,1,,,,,Operations and Supply Chain Management
69559,Isabela,Santos,28,Female,Indonesia,BCO7005,2,,,,,Financial and Managerial Accounting
73514,Carmen,Rivera,30,Female,Laos,BCO7006,1,BCO7007,2.0,,,Operations and Supply Chain Management
94769,Juan,Fernandez,31,Male,Vietnam,BEO6600,2,,,,,Marketing Strategy and Consumer Behavior
77327,Alicia,Reyes,27,Female,Philippines,BEO6000,3,,,,,Data-Driven Decision Making and Analytics
01082,Alberto,Garcia,20,Male,Malaysia,BCO6008,2,BEO6000,3.0,,,Data-Driven Decision Making and Analytics
63458,Alicia,Cruz,24,Female,Vietnam,BCO7004,4,,,,,Information Technology and Systems
15695,Fernando,Rivera,25,Male,Indonesia,BCO7002,4,BCO7000,1.0,,,Digital Media and Content Creation
94400,Luisa,Rivera,28,Female,Indonesia,BEO6000,3,BCO7002,4.0,BCO7007,2.0,Information Technology and Systems
58631,Sofia,Flores,24,Female,Thailand,BCO7004,4,,,,,Marketing Strategy and Consumer Behavior
54881,Carlos,Garcia,30,Male,Cambodia,BCO7000,4,BCO7006,4.0,BCO7002,4.0,General Business and Management
51177,Sofia,Ramos,34,Female,Laos,BCO7000,1,,,,,Data-Driven Decision Making and Analytics
13497,Angelica,Flores,19,Female,Laos,BCO7002,4,BEO6000,3.0,BCO6008,2.0,Operations and Supply Chain Management
79443,Antonio,Santos,21,Male,Malaysia,BAO6504,1,,,,,Financial and Managerial Accounting
88397,Carlos,Garcia,20,Male,Philippines,BCO7000,3,BCO7006,3.0,BEO6000,3.0,Marketing Strategy and Consumer Behavior
47031,Alberto,Santos,26,Male,Cambodia,BCO7002,4,BEO6000,3.0,"	
WOM1000",1.0,General Business and Management
55865,Roberto,Reyes,22,Male,Thailand,BCO7000,4,BCO7006,1.0,BCO7002,4.0,Marketing Strategy and Consumer Behavior
72168,Ricardo,Morales,30,Male,Malaysia,BCO7000,2,BCO7006,1.0,BCO7007,2.0,Marketing Strategy and Consumer Behavior
22699,Isabela,Reyes,34,Female,Myanmar,BCO7002,4,BCO6008,2.0,BCO7000,1.0,Financial and Managerial Accounting
59523,Alberto,Fernandez,23,Male,Philippines,BCO7000,4,BCO7006,1.0,BCO7002,4.0,General Business and Management
77167,Alberto,Reyes,25,Male,Laos,BEO6000,3,BCO7007,2.0,BCO7002,4.0,Marketing Strategy and Consumer Behavior
50548,Miguel,Gonzalez,23,Male,Indonesia,BCO7004,4,BEO6000,3.0,"	
WOM1000",1.0,Information Technology and Systems
62171,Roberto,Fernandez,21,Male,Vietnam,BAO6504,1,BCO7004,4.0,BCO7005,2.0,Digital Media and Content Creation
18231,Veronica,Martinez,29,Female,Malaysia,BCO7000,1,BCO6008,2.0,BEO6000,3.0,Information Technology and Systems
37800,Ismael,Rivera,19,Male,Singapore,BCO7000,2,BCO7006,1.0,BCO7002,4.0,Information Technology and Systems
62720,Ismael,Garcia,29,Male,Philippines,BEO6000,3,,,,,Information Technology and Systems
37004,Veronica,Garcia,20,Female,Singapore,BEO6000,3,BCO7002,4.0,BCO6008,2.0,Information Technology and Systems
34494,Carlos,Martinez,34,Male,Thailand,BEO6000,3,BCO6008,2.0,,,General Business and Management
64238,Ismael,Martinez,26,Male,Myanmar,BCO7004,4,,,,,Operations and Supply Chain Management
45361,Luisa,Reyes,21,Female,Malaysia,BCO7000,1,BCO6008,2.0,BCO7002,4.0,Operations and Supply Chain Management
23552,Veronica,Flores,33,Female,Thailand,BCO7007,2,BEO6000,3.0,,,Information Technology and Systems
56395,Antonio,Reyes,33,Male,Brunei,BCO7003,1,BCO7002,4.0,BEO6000,3.0,Digital Media and Content Creation
61022,Alberto,Torres,18,Male,Indonesia,BCO7000,3,BCO7006,3.0,BEO6000,3.0,Digital Media and Content Creation
89996,Veronica,Ramos,35,Female,Laos,BCO7000,1,BCO7006,1.0,BCO7003,1.0,Digital Media and Content Creation
38010,Roberto,Gonzalez,24,Male,Laos,BCO7003,1,BCO7002,4.0,,,Financial and Managerial Accounting
73203,Maria,Reyes,26,Female,Indonesia,BCO7004,4,BAO6504,1.0,BCO7005,2.0,Data-Driven Decision Making and Analytics
16333,Rosa,Cruz,29,Female,Philippines,BCO7004,4,BEO6000,3.0,,,Operations and Supply Chain Management
52454,Rosa,Torres,24,Female,Malaysia,BEO6000,3,,,,,Digital Media and Content Creation
94205,Isabela,Flores,20,Female,Myanmar,BCO7000,1,BCO7006,3.0,BEO6000,3.0,Financial and Managerial Accounting
13702,Juan,Ramos,33,Male,Malaysia,BAO6504,1,,,,,Information Technology and Systems
11073,Isabela,Reyes,31,Female,Philippines,BCO7000,1,,,,,Marketing Strategy and Consumer Behavior
61457,Carmen,Ramos,20,Female,Indonesia,BCO7004,4,,,,,General Business and Management
72106,Carmen,Santos,23,Female,Laos,BCO7005,2,BEO6000,3.0,"	
WOM1000",1.0,Marketing Strategy and Consumer Behavior
35575,Roberto,Rivera,33,Male,Brunei,BEO6000,3,,,,,Financial and Managerial Accounting
11881,Isabela,Torres,35,Female,Brunei,BCO7005,2,,,,,Leadership and Strategic Management
62196,Jose,Rivera,22,Male,Cambodia,BEO6000,3,BCO7000,1.0,BCO7007,2.0,Operations and Supply Chain Management
61330,Luisa,Fernandez,23,Female,Malaysia,BCO7006,1,BEO6000,3.0,,,Operations and Supply Chain Management
89006,Rosa,Reyes,18,Female,Cambodia,BCO7000,4,BCO7006,4.0,BEO6000,3.0,Information Technology and Systems
77065,Rosa,Santos,26,Female,Vietnam,"	
WOM1000",1,BCO7002,4.0,,,Leadership and Strategic Management
74133,Ricardo,Santos,28,Male,Cambodia,BCO7004,4,BEO6000,3.0,,,Leadership and Strategic Management
66187,Ricardo,Morales,20,Male,Laos,BEO6000,3,,,,,Operations and Supply Chain Management
94187,Luisa,Cruz,34,Female,Philippines,BEO6600,2,BEO6000,3.0,,,Digital Media and Content Creation
36480,Antonio,Reyes,28,Male,Malaysia,BEO6000,3,,,,,General Business and Management
33707,Miguel,Morales,31,Male,Cambodia,BCO7005,2,BCO7002,4.0,BCO7000,1.0,Digital Media and Content Creation
99724,Antonio,Gonzalez,24,Male,Myanmar,"	
WOM1000",1,,,,,Data-Driven Decision Making and Analytics
33351,Miguel,Santos,25,Male,Myanmar,BCO7000,1,BCO7006,4.0,BAO6504,1.0,Leadership and Strategic Management
34260,Fernando,Santos,22,Male,Singapore,BCO7000,4,BCO7006,4.0,BCO7004,4.0,Leadership and Strategic Management
58860,Angelica,Gonzalez,27,Female,Malaysia,BCO7007,2,,,,,General Business and Management
46569,Carmen,Morales,35,Female,Singapore,BEO6000,3,BCO7002,4.0,BCO7006,1.0,Financial and Managerial Accounting
28767,Fernando,Fernandez,30,Male,Brunei,BCO7002,4,,,,,Digital Media and Content Creation
51692,Carlos,Santos,19,Male,Vietnam,BCO7000,2,BCO7006,2.0,BCO6008,2.0,Operations and Supply Chain Management
84441,Rosa,Ramos,22,Female,Thailand,BCO7004,4,BEO6000,3.0,,,Information Technology and Systems
92323,Maria,Fernandez,24,Female,Thailand,BCO7000,2,BCO7006,2.0,BEO6600,2.0,Data-Driven Decision Making and Analytics
49942,Alberto,Santos,33,Male,Vietnam,BCO7002,4,BCO7003,1.0,BEO6000,3.0,Operations and Supply Chain Management
49892,Sofia,Garcia,32,Female,Laos,BCO7004,4,,,,,Leadership and Strategic Management
27402,Juan,Gonzalez,28,Male,Brunei,BAO6504,1,,,,,Financial and Managerial Accounting
47067,Ismael,Fernandez,19,Male,Myanmar,BCO6008,2,BEO6000,3.0,,,Digital Media and Content Creation
33781,Antonio,Garcia,18,Male,Indonesia,BCO6008,2,,,,,Leadership and Strategic Management
76791,Carlos,Garcia,27,Male,Indonesia,BCO7004,4,BEO6000,3.0,BCO6008,2.0,Financial and Managerial Accounting
79910,Miguel,Flores,34,Male,Malaysia,BCO7000,1,BCO7006,1.0,BAO6504,1.0,Operations and Supply Chain Management
